x, y
0.010076156237803531, 0.013749999999999998
0.012366790442365177, 0.01625
0.01600602020523091, 0.019791666666666666
0.021517122110803064, 0.024791666666666667
0.027743618072404448, 0.03020833333333333
0.03715493231285777, 0.036875
0.04718517839225936, 0.04416666666666667
0.049947907433798566, 0.049166666666666664
0.05924509344344375, 0.06208333333333333
0.07326716553534124, 0.08374999999999999
0.09924419355946655, 0.12458333333333332
0.1208849744119364, 0.15583333333333332
0.13648678677458034, 0.17708333333333331
0.13648678677458034, 0.13124999999999998
0.14949591461830947, 0.075625
0.22863532315797336, 0.08124999999999999
0.30387978621001666, 0.08708333333333333
0.3903312104899632, 0.09416666666666666
0.46828549774993466, 0.09979166666666665
0.7000676878861675, 0.10833333333333332
