x, y
0.009924295108704517, 327.5715098304726
0.01456687309222178, 250.0110382617928
0.02012011056916566, 195.35130938771178
0.027371193151509102, 150.85907086001777
0.03530650961031624, 117.87686347935866
0.0430193026711385, 94.29524558091268
0.05241697417096923, 70.29732115325471
0.06411072572518015, 48.83998368582261
0.08332821508477356, 29.818774856061125
0.11774896426549629, 15.627069765469948
0.1350090981752457, 11.379480841432363
0.13655686293546998, 3.3144247494664256
0.18790026506185736, 2.120950887920191
0.26151207650085456, 1.2949258422052623
0.3490633806121446, 0.848342898244072
0.4334746417748763, 0.6324415700765513
0.5046267831325149, 0.39531088734652825
0.6314370095430921, 0.17369844013488708
0.7049930221673029, 0.10000000000000002
